Vehicle condition,Category,Vehicle Number,Origin,Mileage,Cubic Capacity,Power,Fuel,Number of Seats,Door Count,Transmission,Emission Class,Emissions Sticker,First Registration,HU,Climatisation,Parking sensors,Airbags,Colour (Manufacturer),Colour,Interior Design,price,Make,Number of Vehicle Owners,Cylinders
Used vehicle,Small Car,,German edition,91000.0,1798.0,132.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),05/2014,New,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,"""Nevada"" weiss",White Metallic,"Alcantara, Black",12890.0,Seat,2.0,4.0
"Used vehicle, Accident-free",Van / Minibus,,German edition,100000.0,1968.0,130.0,Diesel,5.0,4/5,Automatic,Euro5,,05/2014,New,Automatic air conditioning,"Front, Rear, Camera",Driver Airbag,"""Night"" blau",Blue Metallic,"Velour, Grey",19990.0,Seat,2.0,4.0
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,CO69345,German edition,93057.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),04/2018,New,"Automatic climatisation, 2 zones","Front, Camera, Rear, Self-steering systems",Front and Side and More Airbags,Rodium Grau Metallic,Grey Metallic,"Full leather, Black",18970.0,Seat,1.0,
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,200297,German edition,79876.0,999.0,85.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),04/2018,New,"Automatic climatisation, 2 zones",Rear,Front and Side and More Airbags,"""Desire"" Rot",Red,"Cloth, Black",14930.0,Seat,2.0,
"Used vehicle, Accident-free",Estate Car,,German edition,136290.0,1984.0,195.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),06/2015,,"Automatic climatisation, 2 zones","Rear, Front",Front Airbags,"""Nevada"" Weiss",White,"Alcantara, Black",15600.0,Seat,4.0,4.0
Used vehicle,Estate Car,0053F,German edition,72223.0,1984.0,221.0,Petrol,5.0,4/5,Automatic,Euro6d,4 (Green),08/2018,New,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,Pirineos Grau Metallic,Grey Metallic,"Alcantara, Black",28450.0,Seat,,
"Used vehicle, Accident-free",Estate Car,,German edition,104710.0,1984.0,221.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),01/2018,New,"Automatic climatisation, 2 zones","Front, Camera, Rear",Front and Side and More Airbags,"""Nevada"" Weiss",White Metallic,"Alcantara, Black",20400.0,Seat,3.0,4.0
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,20756_GW_RGB-VS,,80190.0,1984.0,140.0,Petrol,5.0,4/5,Automatic,Euro6d-TEMP,4 (Green),03/2018,04/2025,"Automatic climatisation, 2 zones","360° camera, Rear, Front, Self-steering systems",Front and Side and More Airbags,Magnetic Braun,Brown Metallic,"Alcantara, Brown",20990.0,Seat,2.0,4.0
Used vehicle,Sports Car / Coupe,GW14141,,82000.0,1798.0,132.0,Petrol,5.0,2/3,Automatic,Euro6,4 (Green),04/2017,New,"Automatic climatisation, 2 zones","Front, Rear, Camera",Front and Side and More Airbags,Pirineos grau,Grey Metallic,"Cloth, Black",16790.0,Seat,2.0,4.0
Used vehicle,Estate Car,,German edition,143500.0,1968.0,110.0,Diesel,5.0,4/5,Automatic,Euro6,4 (Green),03/2017,05/2026,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,"""Pirineos"" Grau",Grey Metallic,"Cloth, Black",12980.0,Seat,2.0,4.0
"Used vehicle, Accident-free",Saloon,83,,74270.0,1197.0,77.0,Petrol,5.0,4/5,Manual gearbox,Euro5,4 (Green),02/2014,New,"Automatic climatisation, 2 zones",,Front and Side and More Airbags,"""Emocion"" rot",Red,"Cloth, Black",10999.0,Seat,2.0,
Used vehicle,Saloon,,German edition,86351.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),11/2016,11/2025,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,"""Nevada"" Weiss Metallic",White Metallic,"Part leather, Black",16490.0,Seat,2.0,
Used vehicle,Van / Minibus,004398,German edition,94500.0,1390.0,92.0,Petrol,5.0,4/5,Manual gearbox,Euro5,4 (Green),10/2014,,"Automatic climatisation, 2 zones","Front, Rear",Front and Side Airbags,Apolo-Blau metallic,Blue Metallic,"Cloth, Black",9745.0,Seat,1.0,4.0
Used vehicle,Van / Minibus,V506670,,160400.0,1395.0,110.0,Petrol,7.0,4/5,Automatic,Euro6,4 (Green),10/2017,New,"Automatic climatisation, 3 zones","Front, Rear",Front and Side and More Airbags,Indisch Grau Metallic,Grey Metallic,"Cloth, Black",16870.0,Seat,1.0,4.0
"Used vehicle, Accident-free",Saloon,,,107500.0,1798.0,132.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),04/2014,New,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,"""Universo"" schwarz",Black Metallic,Alcantara,13900.0,Seat,2.0,
Used vehicle,Saloon,502147,German edition,86029.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,1 (None),08/2016,New,"Automatic climatisation, 2 zones","Camera, Rear, Front",Front and Side and More Airbags,Mitternachtsschwarz,Black Metallic,"Cloth, Other",15950.0,Seat,1.0,4.0
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,0131E,German edition,66171.0,1498.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),07/2018,New,"Automatic climatisation, 2 zones","Rear, Camera, Self-steering systems, Front",Front and Side and More Airbags,Nevada-Weiss,White,"Cloth, Black",18990.0,Seat,,
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,574456-037,German edition,88221.0,1968.0,140.0,Diesel,5.0,4/5,Automatic,Euro6,4 (Green),05/2018,New,"Automatic climatisation, 2 zones","360° camera, Self-steering systems, Rear, Front",Front and Side and More Airbags,Reflexsilber Metallic,Silver Metallic,"Full leather, Other",23487.0,Seat,2.0,4.0
Used vehicle,Estate Car,,,106500.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),07/2016,01/2026,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,"""Nevada"" Weiss",White Metallic,"Part leather, Black",15750.0,Seat,,
"Used vehicle, Accident-free",Estate Car,5462,German edition,109746.0,1395.0,103.0,Petrol,5.0,4/5,Manual gearbox,Euro5,4 (Green),03/2014,11/2024,"Automatic climatisation, 2 zones",Rear,Front and Side and More Airbags,"""Pirineos"" grau",Grey Metallic,"Part leather, Black",9990.0,Seat,2.0,4.0
"Used vehicle, Accident-free",Estate Car,,German edition,93200.0,1984.0,221.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),10/2018,01/2026,"Automatic climatisation, 3 zones","Rear, Front, Camera",Front and Side and More Airbags,"""Nevada"" Weiss",White Metallic,"Part leather, Other",21901.0,Seat,,4.0
"Used vehicle, Accident-free",Saloon,,,89900.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,,03/2015,08/2026,A/C (man.),"Rear, Front",Front Airbags,,Silver Metallic,Cloth,13000.0,Seat,2.0,
Used vehicle,Van / Minibus,,German edition,103000.0,1968.0,103.0,Diesel,7.0,4/5,Manual gearbox,Euro5,4 (Green),04/2014,New,"Automatic climatisation, 2 zones","Rear, Front, Camera",Front and Side and More Airbags,"""Deep"" schwarz",Black Metallic,,19490.0,Seat,1.0,4.0
"Used vehicle, Accident-free",Estate Car,24092,German edition,113489.0,1984.0,221.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),04/2018,,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,Desire Rot,Red Metallic,"Alcantara, Black",21630.0,Seat,2.0,4.0
"Used vehicle, Accident-free",Saloon,0267,German edition,88885.0,1798.0,118.0,Petrol,5.0,4/5,Manual gearbox,Euro5,4 (Green),07/2012,01/2026,Automatic air conditioning,"Rear, Front",Front and Side and More Airbags,´´Candy´´ weiss,White,"Cloth, Black",9910.0,Seat,,4.0
"Used vehicle, Accident-free",Saloon,792995,,109500.0,1798.0,132.0,Petrol,5.0,2/3,Automatic,Euro6,4 (Green),03/2013,06/2026,"Automatic climatisation, 2 zones","Rear, Front",,"""Emocion"" rot",Red,"Alcantara, Black",13099.0,Seat,3.0,4.0
Used vehicle,Estate Car,,German edition,91865.0,1968.0,110.0,Diesel,5.0,4/5,Automatic,Euro6,4 (Green),06/2017,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Pirineos Grau,Grey Metallic,"Part leather, Black",16790.0,Seat,2.0,
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,18,German edition,86550.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),11/2017,11/2026,Automatic air conditioning,"Rear, Front, Self-steering systems, Camera",Front and Side and More Airbags,"""Bila"" Weiss",White,"Cloth, Black",18900.0,Seat,1.0,4.0
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,V904C,German edition,58666.0,1984.0,140.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),12/2017,New,"Automatic climatisation, 2 zones","Front, 360° camera, Rear",Front and Side and More Airbags,rot,Red,"Alcantara, Black",25950.0,Seat,,
Used vehicle,Estate Car,,German edition,121800.0,1798.0,132.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),05/2018,New,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,"""Urban"" Silber",Silver Metallic,"Part leather, Black",16490.0,Seat,2.0,4.0
Used vehicle,Saloon,,,68427.0,1197.0,77.0,Petrol,5.0,4/5,Automatic,Euro5,4 (Green),01/2015,New,Automatic air conditioning,"Front, Rear",Front and Side Airbags,"""Montsant"" Rot",Red Metallic,"Alcantara, Black",11900.0,Seat,,4.0
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,0731DS,German edition,121028.0,1968.0,110.0,Diesel,5.0,4/5,Manual gearbox,Euro6,4 (Green),06/2016,09/2025,"Automatic climatisation, 2 zones","Rear, Front, Camera",Front and Side and More Airbags,Reflexsilber Metallic,Silver Metallic,Alcantara,17750.0,Seat,,4.0
Used vehicle,Estate Car,03,,90693.0,1395.0,92.0,Petrol,5.0,4/5,Manual gearbox,Euro6,,08/2015,New,"Automatic climatisation, 2 zones",Rear,Front and Side and More Airbags,,Grey Metallic,Part leather,13990.0,Seat,1.0,
Used vehicle,Van / Minibus,DB-78-9184,German edition,99405.0,1968.0,135.0,Diesel,7.0,4/5,Automatic,Euro6,4 (Green),02/2017,New,"Automatic climatisation, 3 zones","Camera, Front, Rear",Front and Side Airbags,pure white,White,"Alcantara, Black",29940.0,Seat,2.0,4.0
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,195,,114027.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),05/2017,New,Automatic air conditioning,"Camera, Rear",Front and Side and More Airbags,Reflexsilber Metallic,Silver Metallic,"Alcantara, Black",18600.0,Seat,1.0,
"Used vehicle, Accident-free",Van / Minibus,,German edition,78000.0,1395.0,110.0,Petrol,7.0,4/5,Automatic,Euro6,4 (Green),11/2017,New,Automatic air conditioning,"Camera, Front, Rear",Front and Side and More Airbags,"""WHITE"" SILBER",Silver Metallic,"Cloth, Black",26990.0,Seat,1.0,4.0
"Used vehicle, Accident-free",Small Car,243,German edition,89500.0,1395.0,110.0,Petrol,5.0,2/3,Manual gearbox,Euro6,4 (Green),03/2016,New,"Automatic climatisation, 2 zones",,Front and Side and More Airbags,"""Apolo"" Blau",Blue Metallic,"Alcantara, Black",13790.0,Seat,2.0,4.0
"Used vehicle, Accident-free",Saloon,804978,German edition,81500.0,1197.0,81.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),09/2015,09/2026,"Automatic climatisation, 2 zones",Rear,,Mitternachtsschwarz,Black Metallic,"Cloth, Black",14799.0,Seat,2.0,4.0
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,0155E,German edition,52670.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),04/2017,New,"Automatic climatisation, 2 zones","Front, Rear, Self-steering systems",Front and Side and More Airbags,metal grey,Grey Metallic,"Alcantara, Black",20950.0,Seat,,
Used vehicle,Van / Minibus,B10211,German edition,128500.0,1968.0,110.0,Diesel,7.0,4/5,Automatic,Euro6,4 (Green),12/2015,New,"Automatic climatisation, 2 zones","Front, Rear, Camera",Front and Side and More Airbags,Indiumgrau Metallic,Grey Metallic,"Cloth, Black",19490.0,Seat,2.0,
Used vehicle,Saloon,702785,German edition,118263.0,1984.0,221.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),01/2018,New,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,Urban Silber,Silver Metallic,"Alcantara, Black",21450.0,Seat,1.0,4.0
Used vehicle,Van / Minibus,,German edition,84500.0,1984.0,162.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),04/2018,04/2025,"Automatic climatisation, 3 zones","Rear, Front",Front and Side and More Airbags,"""Deep"" Schwarz Perleffekt",Black Metallic,"Full leather, Black",26950.0,Seat,1.0,4.0
Used vehicle,Van / Minibus,0021D,German edition,114746.0,1390.0,92.0,Petrol,5.0,4/5,Manual gearbox,Euro5,4 (Green),10/2015,New,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,schwarz,Black,"Cloth, Black",10990.0,Seat,,
Used vehicle,Van / Minibus,,German edition,133000.0,1968.0,130.0,Diesel,7.0,4/5,Manual gearbox,Euro5,4 (Green),05/2013,,"Automatic climatisation, 4 zones","Front, Rear",Front and Side and More Airbags,Deep Black,Black Metallic,"Full leather, Black",19490.0,Seat,2.0,4.0
Used vehicle,Van / Minibus,245_7112,German edition,99760.0,1968.0,135.0,Diesel,7.0,4/5,Automatic,Euro6,4 (Green),11/2015,New,Automatic air conditioning,"Rear, Front, Camera",Front and Side and More Airbags,Night Blue,Blue Metallic,"Alcantara, Grey",23990.0,Seat,2.0,
"Used vehicle, Accident-free",Saloon,1,German edition,98000.0,1197.0,77.0,Petrol,5.0,4/5,Automatic,,,10/2013,10/2026,Automatic air conditioning,Rear,Front and Side and More Airbags,"""candy"" weiss",White,"Cloth, Black",12990.0,Seat,1.0,4.0
"Used vehicle, Accident-free",Estate Car,254-05,German edition,89878.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),04/2018,New,"Automatic climatisation, 2 zones",,Front and Side and More Airbags,Grau,Grey Metallic,"Part leather, Other",18120.0,Seat,,
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,322157296649,German edition,70100.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,,12/2016,01/2026,"Automatic climatisation, 2 zones","360° camera, Rear",Front and Side and More Airbags,Reflexsilber Metallic,Silver Metallic,"Alcantara, Black",17990.0,Seat,2.0,4.0
"Used vehicle, Accident-free",Saloon,,,111924.0,1798.0,132.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),07/2013,New,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,"""Emocion"" rot",Red Metallic,Alcantara,13890.0,Seat,2.0,4.0
"Used vehicle, Accident-free",Van / Minibus,,,109500.0,1968.0,103.0,Diesel,5.0,4/5,Manual gearbox,Euro5,4 (Green),01/2014,New,"Automatic climatisation, 3 zones","Rear, Front, Camera",Front and Side and More Airbags,"""candy"" weiss",White,"Cloth, Black",17990.0,Seat,1.0,4.0
"Used vehicle, Accident-free",Saloon,,,106005.0,1984.0,221.0,Petrol,5.0,2/3,Automatic,Euro6,4 (Green),08/2018,08/2025,Automatic air conditioning,"Rear, Front, Camera",Front and Side Airbags,,White,"Alcantara, Black",20150.0,Seat,2.0,
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,,German edition,115794.0,1498.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),03/2019,New,Automatic air conditioning,"Rear, Camera",Front and Side and More Airbags,Cappuccino Beige Metallic,Beige Metallic,"Alcantara, Black",17499.0,Seat,1.0,4.0
"Used vehicle, Accident-free",Saloon,078915,,76500.0,1798.0,132.0,Petrol,5.0,2/3,Manual gearbox,Euro6,1 (None),02/2015,11/2026,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,Candy weiss,White,"Alcantara, Black",13900.0,Seat,2.0,4.0
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,GATE4218,German edition,105849.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,,09/2016,01/2027,"Automatic climatisation, 2 zones",Rear,Front and Side and More Airbags,Mato Braun Metallic,Brown Metallic,Alcantara,14490.0,Seat,,
Used vehicle,Van / Minibus,V513523,German edition,75676.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),04/2018,05/2025,"Automatic climatisation, 3 zones",Rear,Front and Side and More Airbags,Rein Weiss,White,"Alcantara, Black",22960.0,Seat,2.0,4.0
Used vehicle,Estate Car,023491,,104000.0,1984.0,221.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),11/2018,New,"Automatic climatisation, 2 zones","Camera, Rear, Front",Front and Side and More Airbags,"""Magnetic Tech""",Grey Metallic,"Part leather, Black",23900.0,Seat,2.0,
"Used vehicle, Accident-free",Saloon,,,121581.0,1968.0,135.0,Diesel,5.0,4/5,Automatic,Euro6,4 (Green),06/2015,05/2026,Automatic air conditioning,,Front and Side and More Airbags,"""Apolo"" Blau",Blue Metallic,"Alcantara, Black",15980.0,Seat,1.0,4.0
Used vehicle,Small Car,21326_kle,German edition,72500.0,1498.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),06/2018,05/2025,"Automatic climatisation, 2 zones","Front, Camera, Rear",Front and Side and More Airbags,"""Nevada"" Weiss",White Metallic,"Cloth, Black",15890.0,Seat,3.0,
Used vehicle,Saloon,21326,German edition,72500.0,1498.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),06/2018,New,"Automatic climatisation, 2 zones","Rear, Front, Camera",Front and Side and More Airbags,"""Nevada"" Weiss",White Metallic,"Cloth, Black",15890.0,Seat,3.0,
"Used vehicle, Accident-free",Saloon,305072,German edition,95595.0,1395.0,92.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),03/2015,New,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,Emocion rot,Red,"Part leather, Black",12500.0,Seat,2.0,4.0
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,558966 E ,German edition,88700.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),03/2018,07/2026,"Automatic climatisation, 2 zones","360° camera, Front, Rear",Front and Side and More Airbags,Lava Blau,Blue Metallic,Cloth,17700.0,Seat,,4.0
Used vehicle,Saloon,,,95478.0,1798.0,132.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),09/2016,07/2026,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Mitternachtsschwarz,Black Metallic,Black,14990.0,Seat,,4.0
Used vehicle,Estate Car,R145063,,114000.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),05/2016,08/2026,"Automatic climatisation, 2 zones","Camera, Rear, Front",Front and Side and More Airbags,Mitternachtsschwarz,Black Metallic,"Full leather, Black",14850.0,Seat,2.0,4.0
Used vehicle,Saloon,,,127163.0,1984.0,213.0,Petrol,5.0,4/5,Automatic,Euro6,,09/2016,New,"Automatic climatisation, 2 zones",Rear,Front and Side and More Airbags,"""Nevada"" Weiss",White Metallic,"Full leather, Black",18990.0,Seat,2.0,4.0
"Used vehicle, Accident-free",Estate Car,,German edition,80560.0,1798.0,132.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),12/2015,New,Automatic air conditioning,Rear,Front and Side and More Airbags,Mitternachtsschwarz,Black Metallic,"Alcantara, Black",14000.0,Seat,3.0,4.0
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,,German edition,74000.0,1498.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),08/2018,New,"Automatic climatisation, 2 zones","Camera, Rear, Self-steering systems, Front",Front and Side and More Airbags,"""Desire"" Rot",Red,"Alcantara, Black",15990.0,Seat,2.0,4.0
"Used vehicle, Accident-free",Estate Car,,,85000.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),12/2017,02/2027,"Automatic climatisation, 2 zones","Rear, Front, Camera",Front and Side and More Airbags,,White Metallic,"Alcantara, Black",17250.0,Seat,2.0,
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,SRS-535382,,67181.0,1498.0,110.0,Petrol,5.0,4/5,Automatic,Euro6d-TEMP,1 (None),03/2019,05/2026,"Automatic climatisation, 2 zones","360° camera, Self-steering systems, Rear, Front",Front and Side and More Airbags,Bila Weiss,White,"Cloth, Black",21450.0,Seat,1.0,4.0
Used vehicle,Estate Car,0156C,German edition,69560.0,999.0,85.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),11/2018,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Candy Weiss,White,"Cloth, Black",17990.0,Seat,,
Used vehicle,Van / Minibus,6569,German edition,97700.0,1968.0,110.0,Diesel,7.0,4/5,Manual gearbox,Euro6,4 (Green),01/2018,New,A/C (man.),"Front, Rear, Camera",Front and Side and More Airbags,Deep-Black Perleffekt,Black,"Alcantara, Black",27990.0,Seat,2.0,
"Used vehicle, Accident-free",Estate Car,,,100256.0,1984.0,221.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),12/2018,New,"Automatic climatisation, 3 zones","Rear, Front, Camera",Front and Side and More Airbags,"""Pirineos"" Grau",Grey Metallic,"Alcantara, Black",21499.0,Seat,,4.0
"Used vehicle, Repaired accident damage",Estate Car,1590-24,,87700.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),03/2016,04/2025,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,Candy weiss,White,"Part leather, Black",14480.0,Seat,3.0,4.0
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,576715455645,German edition,78860.0,1984.0,140.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),07/2018,New,"Automatic climatisation, 2 zones","Camera, Rear, Self-steering systems, Front",Front and Side and More Airbags,Lava Blau Metallic,Blue Metallic,"Alcantara, Brown",23490.0,Seat,1.0,4.0
"Used vehicle, Accident-free",Estate Car,055494,German edition,82900.0,1798.0,132.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),03/2018,02/2026,"Automatic climatisation, 2 zones","Rear, Front, Camera",Front and Side and More Airbags,Nevada Weiss,White Metallic,"Cloth, Black",18359.0,Seat,2.0,4.0
"Used vehicle, Accident-free",Saloon,,German edition,96000.0,1395.0,92.0,Petrol,5.0,2/3,Manual gearbox,Euro6,4 (Green),05/2016,New,"Automatic climatisation, 2 zones","Front, Camera, Rear",Front and Side and More Airbags,"""Pirineos"" Grau",Grey Metallic,"Part leather, Black",13495.0,Seat,2.0,4.0
"Used vehicle, Accident-free",Saloon,R074537,German edition,93915.0,1395.0,92.0,Petrol,5.0,4/5,Manual gearbox,,4 (Green),06/2017,,Automatic air conditioning,Camera,Front and Side and More Airbags,Candy-Weiß,White,"Alcantara, Black",15290.0,Seat,2.0,
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,,German edition,107000.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),01/2017,New,Automatic air conditioning,"Front, Camera, Rear",Front and Side and More Airbags,Samoaorange Metallic,Orange Metallic,"Cloth, Black",15999.0,Seat,1.0,
"Used vehicle, Accident-free",Estate Car,,German edition,121291.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),12/2016,11/2026,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,"""Pirineos"" Grau",Grey Metallic,Black,12999.0,Seat,2.0,4.0
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,198855,German edition,76049.0,1984.0,140.0,Petrol,5.0,4/5,Automatic,Euro6d-TEMP,4 (Green),11/2019,12/2026,"Automatic climatisation, 2 zones",Rear,Front and Side and More Airbags,Magnetisch Braun,Brown,"Alcantara, Black",24330.0,Seat,3.0,
Used vehicle,Saloon,2946,German edition,97137.0,999.0,70.0,Petrol,5.0,4/5,Manual gearbox,Euro6,3 (Yellow),01/2016,New,"Automatic climatisation, 2 zones","Rear, Front",,Mitternachtsschwarz,Black Metallic,"Cloth, Grey",9950.0,Seat,2.0,3.0
Used vehicle,Estate Car,65,,72036.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),09/2015,,"Automatic climatisation, 2 zones",Rear,Front and Side and More Airbags,"""Pirineos"" Grau",Grey Metallic,"Part leather, Black",15990.0,Seat,2.0,4.0
"Used vehicle, Accident-free",Saloon,GR068620,German edition,124900.0,1984.0,206.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),11/2015,New,"Automatic climatisation, 2 zones","Front, Camera, Rear",Front and Side and More Airbags,Midnight Schwarz,Black Metallic,"Part leather, Black",17490.0,Seat,2.0,4.0
"Used vehicle, Accident-free",Van / Minibus,,German edition,95000.0,1968.0,103.0,Diesel,7.0,4/5,Manual gearbox,Euro5,4 (Green),10/2014,New,Automatic air conditioning,"Front, Rear, Camera",Front and Side and More Airbags,"""Deep"" Schwarz",Black Metallic,"Alcantara, Black",16890.0,Seat,1.0,4.0
"Used vehicle, Accident-free",Estate Car,772658,,61700.0,1984.0,213.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),09/2016,01/2026,"Automatic climatisation, 2 zones","Camera, Rear, Front",,"""Nevada"" Weiss",White Metallic,"Alcantara, Black",20799.0,Seat,2.0,4.0
"Used vehicle, Accident-free",Saloon,Finanzierung mit 0% Anzahlung,German edition,94177.0,1395.0,103.0,Petrol,5.0,4/5,Manual gearbox,Euro5,4 (Green),06/2014,New,Automatic air conditioning,Rear,Front and Side and More Airbags,"""candy"" weiss",White,"Cloth, Other",11999.0,Seat,,4.0
Used vehicle,Van / Minibus,,German edition,78000.0,1968.0,103.0,Diesel,7.0,4/5,Automatic,Euro5,4 (Green),12/2012,12/2025,Automatic air conditioning,"Rear, Front, Camera",Front and Side and More Airbags,Deep Black,Black Metallic,"Cloth, Grey",18999.0,Seat,1.0,4.0
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,R259_114387,,85761.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6d-TEMP,4 (Green),04/2018,05/2025,Automatic air conditioning,"Rear, 360° camera",Front and Side and More Airbags,,Gold Metallic,"Part leather, Other",17990.0,Seat,1.0,
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,H10895,EU edition,74500.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),11/2017,New,"Automatic climatisation, 2 zones","Self-steering systems, Rear, Front",Front and Side and More Airbags,"""Mediterranean"" Blau",Blue,"Other, Black",18980.0,Seat,3.0,4.0
"Used vehicle, Accident-free",Van / Minibus,,,95500.0,1984.0,162.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),04/2018,05/2025,"Automatic climatisation, 3 zones","Front, Rear, Camera",Front and Side and More Airbags,,White Metallic,"Full leather, Black",27000.0,Seat,2.0,
Used vehicle,Estate Car,14540,German edition,84631.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),06/2016,,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Pirineos grau,Grey Metallic,"Part leather, Black",13979.0,Seat,2.0,4.0
